user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,hashtags,source,is_retweet
Teresa MASIA PERALES,"Eaubonne, 95, France",Human rights activist,9/18/2009 17:37,782,959,6962,FALSE,1/17/2023 12:46,,Twitter for Android,FALSE
Julio Marchi © Speaks Out,United States,"Technology Scientist, Executive & Entrepreneur. Startup Aficionado. Software Engineer. Publisher & Journalist Enthusiast. Passionate Storyteller & Musician.",5/4/2009 18:08,5972,5345,542,FALSE,1/17/2023 12:40,,Omnihanded Interactive News,FALSE
Mr. Skanner,NY,"A lone wolf that reads, learns, and shares for those willing to expand their horizons and break free from mainstream media and their own little centrist bubble.",7/22/2012 2:32,302,1290,14,FALSE,1/17/2023 12:40,,Omnihanded MrSkanner App,FALSE
grandpa bod,"Missouri, USA",“It is time.. for us to do what we have been doing. And that time is every day.”,11/18/2018 21:51,360,449,70014,FALSE,1/17/2023 12:34,,Twitter for iPhone,FALSE
Dennis Kendel,Saskatoon,Former CEO x 3. Health policy/services consultant. Physician: Physician leadership advocate & mentor.,9/7/2012 0:27,11271,4719,67195,FALSE,1/17/2023 12:25,,Twitter Web App,FALSE
Ajay Tripathy,India,"Delivered quality primary-healthcare in #ArunachalPradesh (2005-10). Ex UNV-UNDP (1991-94) in #Maldives, Cochrane-CMCVellore (2011-15), ICMR-RMRC (2019-20), etc",1/6/2012 17:02,1686,385,61067,FALSE,1/17/2023 12:24,,Twitter Web App,FALSE
Trevor Bayfield,Devon UK ,"Personal Chef, Musician. 


~ Don't underestimate the power of your own speech ~ Jordan B Peterson

(Wave Photo: Grégoire Gyselinck)",2/10/2009 19:56,2479,1761,46859,FALSE,1/17/2023 12:13,,Twitter for Android,FALSE
Montgomery Granger,"Long Island, New York","Christian, husband, father, educator (R), veteran (R), Libertarian. Author, ‘Saving Grace at Guantanamo Bay.’ Film: Heroes of GITMO: https://t.co/S1JRna7T2s",8/4/2010 11:15,87596,90669,58341,TRUE,1/17/2023 11:50,,Twitter Web App,FALSE
Stacie Smith (She/Elle) ❤️🧠🏒,"Fredericton, New Brunswick","@DalhousieU BScKin'20, @UNB BEd'22, @THEYCRH Co-ED, @MentalHealthSN Founder, @pfyouthnb Youth Mental Health & @nbyc_cjnb ssmith@sandboxproject.ca",9/16/2011 19:11,1847,1542,94110,FALSE,1/17/2023 11:49,,Twitter Web App,FALSE
onisillos,"London, UK",Being a journal editor is an eternal struggle between (a) never being wrong and (b) not disagreeing with real experts. Devoted to @Turneeps5,6/27/2014 8:31,8400,4528,71344,FALSE,1/17/2023 11:06,,Twitter Web App,FALSE
"Francoise Baylis, PhD","Halifax, Canada","Author ""Altered Inheritance"", Philosopher, Distinguished Research Professor Emerita, Dalhousie University",11/7/2012 14:57,4064,717,3549,FALSE,1/17/2023 11:00,,Twitter for iPhone,FALSE
The Current,Pakistan,Local news for Pakistan's millennials,12/8/2018 12:22,28402,150,80,FALSE,1/17/2023 10:30,,Hootsuite Inc.,FALSE
AfricaTembelea,Africa,,7/25/2018 18:33,1293,5001,1817,FALSE,1/17/2023 9:46,['UPDATE'],Twitter for Android,FALSE
PEI POLITICAL DISCUSSION Resistance is NOT futile.,Prince Edward Island,PEI POLITICAL DISCUSSION Statements are personal opinions. Members of the electorate exercising our constitutionally granted freedom of expression. #peipoli,1/11/2020 16:27,1979,2357,13318,FALSE,1/17/2023 9:43,,Twitter Web App,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4224,44,6,FALSE,1/17/2023 8:13,,Zapier.com,FALSE
Neil McGillivray,"West Coast, Sweden","- 'stay curious, always interested, watch & listen. Engage. Do. Repeat' | 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇸🇪 | 🇪🇺 | husband, father | BSc | BA (Hons) | Masters (MSc/MFA)",8/20/2010 13:08,302,1134,644,FALSE,1/17/2023 7:55,,IFTTT,FALSE
MENAFN Business,,,8/15/2009 14:50,1894,19,16,FALSE,1/17/2023 7:18,,dlvr.it,FALSE
Madeleine Dumais-Reynolds,,Are you smart enough to take Garlic for COVID,9/7/2022 15:14,663,526,701,FALSE,1/17/2023 6:43,,Twitter Web App,FALSE
Salina Reddy,Earth,"#Democracy is the face of a #layman
Democracy represents the #idea of a #nation 
Don't spoil it for #personal #riches & #Grudges

RT, QT and Likes ≠ endorsment.",11/4/2021 11:55,624,1072,7388,FALSE,1/17/2023 3:46,"['Omicron', 'accounts', 'cases', 'NYC']",Twitter Web App,FALSE
The Epoch Times Canada,Canada,"The Epoch Times Canadian Edition. 
Follow us on https://t.co/dB76MDKqEE | Watch: https://t.co/GTfJbvbzTC | Play: https://t.co/PTcOnAErxC",12/18/2009 14:05,9177,31,181,FALSE,1/17/2023 2:48,"['Omicron', 'XBB', 'infect', 'been', 'vaccinated']",Buffer,FALSE
GaliLeo,Cerebral Cortex,"Some think I’ve gone mad; this one is for the GALILEOS… and for other LIONS too… but ultimately for my children, as a record of how I tried to fight for them.",4/23/2022 10:31,66,161,24,FALSE,1/17/2023 2:15,,Twitter for iPhone,FALSE
Gwendolyn Levitt,,I am always afraid of your something shall be done.,1/21/2021 3:27,6929,7347,5,FALSE,1/17/2023 2:04,,Twitter Web App,FALSE
Peter Lawrence,"iPhone: 18.327295,-64.917862","Proprietor, Hoodview (LIVE-Certified) & Vanjohn Vineyards: Pinot Noir & Pinot Gris planted 1990-91. Also Champagne- & Franciacorta-lover, fine sherry
Amity, OR",8/2/2009 0:39,1272,4275,64583,FALSE,1/17/2023 2:01,,Twitter for iPhone,FALSE
Jael.,"Melbourne,Victoria. Sydney ATM","A post-patriarchal world for all.  Sociologically inclined, ecologically minded. Challenge  dominant cultural ideologies. Psychotherapist and Counsellor.",3/28/2020 5:08,57,301,11043,FALSE,1/17/2023 1:55,,Twitter for Android,FALSE
anacottsteel,,On July 16 2021 The Biden Admin. pres sec. admitted the government is censoring its citizens on social media if they don't agree with the narrative. STOP WEF!,2/20/2009 16:34,212,308,192,FALSE,1/17/2023 1:41,,Twitter Web App,FALSE
SANTINO,,NEWS▫️HAIRSTYLIST MAKEUP ARTIST FOR FILM / TV /THEATRE▫️RECORDING ARTIST▫️SINGLE RELEASES “POOL PARTY” & “POOL PARTY” (SKY MACHINE REMIX)▫️“BURN OUT THE SUN”,7/20/2017 1:30,1554,92,63679,FALSE,1/17/2023 1:08,,Twitter for iPhone,FALSE
Anna Tema,Oslo,Konservativ. I evig opposisjon til media & myndigheter. Som regel på parti med underdogen. Hovedfokus: Amerikansk politikk og mediekritikk. Mye høyttenking.,11/10/2012 14:55,1224,384,48800,FALSE,1/17/2023 1:03,,Twitter Web App,FALSE
MENAFN Business,,,8/15/2009 14:50,1894,19,16,FALSE,1/17/2023 0:37,,dlvr.it,FALSE
UBC Media Relations,"Vancouver, B.C., Canada","Official Twitter channel of @UBC Media Relations. Follow us for research news, announcements, expert advisories and story ideas.",8/10/2009 22:49,24944,2735,2245,TRUE,1/17/2023 0:30,,Sprout Social,FALSE
The Conversation Canada,Canada,"Written by academic experts, edited by journalists, backed by evidence
✉️ Newsletter: https://t.co/JiiMeZ0w9S 
🎧 Podcast: https://t.co/ZXPmzbqAkH
➕ Donate: https://t.co/b7Fzu6HTIc",9/19/2015 22:32,21252,8768,6782,FALSE,1/17/2023 0:06,,dlvr.it,FALSE
PatriotPress,"Colorado, USA",Truth will set you FREE,10/28/2022 15:24,32,39,1608,FALSE,1/16/2023 23:55,,Twitter Web App,FALSE
Anna Vosper 🇨🇦,Quadra Island ,"Real estate development consultant. Loves Randy, dogs, wine, bacon, the sea.",9/17/2022 0:23,100,284,5554,FALSE,1/16/2023 23:46,,Twitter Web App,FALSE
Trying To Always Find The Truth 🙄 Vietnam Vet,"North Carolina, US","WOMAN & former US Navy Corpsman & VIETNAM VET. I always follow back #MAGA.  #AMERICAFIRST, Jesus Christ will get us there. 

I love ""MY"" POTUS.  A man of GOD.",11/17/2013 3:09,5599,5923,12931,FALSE,1/16/2023 23:24,,Twitter Web App,FALSE
angelafaulkner,"Los Angeles, CA","Political trainer at Leadership Institute; back in college for an archaeology degree, lover of Chris, mom of 3 men, follower of Christ",11/5/2007 3:37,1809,2167,23320,FALSE,1/16/2023 23:09,,Twitter for iPhone,FALSE
Maritime Noon,"NB, NS & PEI","We're all about the Maritimes. If you're talking about it, we are too! Daily phone in 12 - 1 on CBC Radio.",6/2/2009 13:24,27589,2357,2653,TRUE,1/16/2023 23:00,,TweetDeck,FALSE
PHL,"Lincoln, NE",We are Partnership for a Healthy Lincoln. Our mission is to improve and protect the health and well-being of our community.,1/3/2013 18:55,517,240,1268,FALSE,1/16/2023 22:52,,Twitter Web App,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,489,480,FALSE,1/16/2023 21:55,,Twitter for iPad,FALSE
Memorial Health System,"Gulfport, MS",Memorial is a multi-specialty medical complex on the MS Gulf Coast. The information presented here is not intended to replace a healthcare professional.,6/11/2009 14:47,3003,141,75,FALSE,1/16/2023 21:39,,Sprout Social,FALSE
Oleg Fabyanchuk,"Portland, OR","Discouragement is rampant, people need to hear the Gospel and the DAILY HOPE more than ever!",11/1/2022 17:26,1290,3132,1,FALSE,1/16/2023 21:38,,Twitter for iPad,FALSE
Oleg Fabyanchuk,"Portland, OR","Discouragement is rampant, people need to hear the Gospel and the DAILY HOPE more than ever!",11/1/2022 17:26,1290,3132,1,FALSE,1/16/2023 21:38,,Twitter for iPad,FALSE
Mike McQuade,,mostly news with a little snark,12/10/2022 14:14,53,457,615,FALSE,1/16/2023 21:26,,Twitter Web App,FALSE
Ohio SILC,"Gahanna, OH",Ohio Statewide Independent Living Council (OSILC) promotes the full access and independence of people with disabilities in the communities of their choosing.,9/11/2015 14:07,331,488,51,FALSE,1/16/2023 21:24,,Buffer,FALSE
Blue_Goose,,Lesbian unjustly trapped in a man's body.  This is due the cis-gender patriarchy.,10/28/2022 19:48,408,787,2775,FALSE,1/16/2023 21:10,,Twitter Web App,FALSE
The Epoch Times,"New York, USA","Independent, award-winning reporting based on Truth and Tradition. Newsletters: https://t.co/0F3JANwb8P | Watch: https://t.co/M1G2gEVJmq | Play: https://t.co/pDrVrN4Qcy",4/5/2009 23:54,561248,95,55902,TRUE,1/16/2023 19:35,,Twitter Web App,FALSE
RDMassengale,"Bradenton, FL",PhD Microbiology/Immunology; Science Instructor helping students raise the bar for classroom learning & college prep.,9/1/2015 3:08,222,585,3331,FALSE,1/16/2023 18:12,"['Covid19', 'FollowtheData']",Twitter Web App,FALSE
JobRx.com,,"Are you an Active or Passive job seeker?

https://t.co/5nCJPn7m5F's focus is on hospital, health-system and MSL (Medical Science Liaison) jobs for pharmacy professionals.",7/20/2009 1:40,7006,918,361,FALSE,1/16/2023 18:00,,Buffer,FALSE
debbz8 xQFDBANNEDx,United States,,4/23/2011 18:50,1630,2148,197923,FALSE,1/16/2023 17:21,,Twitter for iPhone,FALSE
jason stack,,,11/10/2022 18:06,36,137,1700,FALSE,1/16/2023 17:14,['WETHEPEOPLE'],Twitter Web App,FALSE
aingel strong,,,12/12/2022 20:31,2,3,13,FALSE,1/16/2023 17:02,,Twitter Web App,FALSE
TEN Healthcare,,"TEN Healthcare is a state-of-the-art, high complexity laboratory providing analysis of urine and saliva samples in support of prescription drug monitoring.",3/18/2021 16:22,30,308,154,FALSE,1/16/2023 17:01,,Hootsuite Inc.,FALSE
Epoch Health,"New York, USA","Live your best life and be your own health coach, armed with essential guidance and the latest health news.",9/30/2013 21:12,7318,4676,5245,FALSE,1/16/2023 16:15,"['Omicron', 'XBB15']",Buffer,FALSE
🇺🇸ULTRA MAGA & PROUD🇺🇸Maskless in Fascist MN,Dark Blue Minneapolis ,"🇺🇸America-where We The People WANT OUR 1A FREEDOM BACK!🇺🇸Trump the Reformer fought the Ruling Class. He opened our eyes, & THEY’RE STAYING THAT WAY. #MAGA!",11/8/2012 5:06,56706,56684,124181,FALSE,1/16/2023 16:04,,Twitter for iPhone,FALSE
Right America Media,New Hampshire,Fed up with corporate fake news? Want real stories from real people? Right America brings you live-streamed content from ordinary citizens each and every day.,8/24/2020 9:54,241,33,654,FALSE,1/16/2023 15:34,,Twitter Web App,FALSE
InfectiousDiseaseSE,"New York, NY",Infectious Disease Special Edition (IDSE) offers news and reviews about all types of infections at https://t.co/y607OVrLtO.,4/7/2011 15:18,1301,1357,1493,FALSE,1/16/2023 14:05,['Evusheld'],Hootsuite Inc.,FALSE
HealthyBuilds,"Jupiter, FL",Design for a healthier environment is a construction management company that understands infection control.  Healthier building is what we do.,12/22/2016 19:00,181,279,8,FALSE,1/16/2023 13:53,,Twitter Web App,FALSE
Bryn,,"just me
My people have been upon this land forever!!! Generations and generations forever.

NO LISTS Please. 
NO DM's. 
I AM .",9/11/2021 15:09,2507,3003,276910,FALSE,1/16/2023 12:48,,Twitter Web App,FALSE
Gordon Young,,,6/5/2011 17:32,63,139,15153,FALSE,1/16/2023 12:42,,Twitter for iPhone,FALSE
Mike Izzo,Melbourne fl,,11/24/2010 10:43,88,69,7,FALSE,1/16/2023 11:45,,Blog2Social APP,FALSE
COVID-19 Global Cases,,Coronavirus COVID-19 Global Cases - Live Updates,3/12/2020 21:30,97,191,0,FALSE,1/16/2023 11:38,,COVID-19 Global Cases,FALSE
THE TRUTH PANTHER,AROUND SOUTH AFRICA. ,"Independent News and Trends Reporter | Brand Promoter | Animator / Graphic designer.

| 📧 : thetruthpanther@gmail.com | WhatsApp: 0743800269 📵",11/19/2014 18:16,20195,1309,6218,FALSE,1/16/2023 10:27,,Twitter for Android,FALSE
Expat Life in Indonesia,"Jakarta Capital Region, Indone",Expat Living Guide for Indonesia,7/26/2020 16:09,104,363,0,FALSE,1/16/2023 7:54,,TweetDeck,FALSE
mad_cat_sadie,,whatever.,6/21/2020 12:28,14,182,4137,FALSE,1/16/2023 7:49,,Twitter for Android,FALSE
Luis Gomez,"München, Bayern","Teilzeit-Superheld, an Ihrer Supermarktkasse",8/2/2017 11:44,118,424,852,FALSE,1/16/2023 7:32,,Twitter Web App,FALSE
Yueting Zhang,In the river of time,God is real,3/27/2019 20:00,2433,5001,44858,FALSE,1/16/2023 6:10,,Twitter Web App,FALSE
Deseret News,"Salt Lake City, UT",Principled. Illuminating. News. Established 1850.,6/8/2008 21:32,121709,150,3064,TRUE,1/16/2023 5:00,,TweetDeck,FALSE
jud 3459,,,10/3/2016 1:21,55,118,5031,FALSE,1/16/2023 4:33,,Twitter for iPhone,FALSE
Teresa Cardwell (Formerly OleLadySquawking),🌎,Just adding my two cents. I'm a RN & living proof that masks & vaccines worked thru my entire career. Warning: I'm sarcastic as Hell & NO DMs!,5/16/2017 19:10,34,68,1812,FALSE,1/15/2023 22:02,,Twitter Web App,FALSE
C COLLINS,,"Truth seeker, there is one Savior JESUS CHRIST maga Trump team",8/11/2017 2:03,1728,2270,4539,FALSE,1/15/2023 21:26,,Twitter Web App,FALSE
anache 🇺🇸 💙 🇺🇦🏳️‍🌈🏳️‍⚧️,Milky Way,"It was ""woke"" people who ended slavery, passed Civil Rights Act, Voting Rights Act, champion woman’s rights, LGBTQ rights. Why the GOP hates them. I am woke!",3/18/2010 19:24,9933,10913,11571,FALSE,1/15/2023 20:56,,Twitter for iPhone,FALSE
"Freddy Pizart, BSN, RN","Miami, Florida","Make life a little bit more cheerful is my main goal. I love to laugh, make people happy, and share interesting articles about health.",6/21/2011 22:34,261,242,1,FALSE,1/15/2023 20:53,,IFTTT,FALSE
Trish 🎄🌻,NY,"Love art, traveling, Christmas, Paris, photography, my dog, NY, and all things Josh! #Grobanite #GreatCometfanforlife ☄️ Military brat. #BLM #Ukraine 🌻",2/19/2011 23:43,1626,1643,219246,FALSE,1/15/2023 20:40,,Twitter for iPad,FALSE
WebMD,USA,WebMD and our medical team bring you the most trustworthy and timely health news and information.,3/23/2009 1:43,3120460,413,4829,TRUE,1/15/2023 20:30,,Sprinklr Publishing,FALSE
Scott Goold,Honolulu,Providing solutions to complex challenges,5/14/2012 17:26,16,31,7,FALSE,1/15/2023 18:48,,Twitter Web App,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,489,480,FALSE,1/15/2023 17:54,,Twitter for iPad,FALSE
George Elliot,NIMPORT OU,My inimitable charm,3/6/2021 18:59,47,489,480,FALSE,1/15/2023 17:53,,Twitter for iPad,FALSE
THE TRUTH PANTHER,AROUND SOUTH AFRICA. ,"Independent News and Trends Reporter | Brand Promoter | Animator / Graphic designer.

| 📧 : thetruthpanther@gmail.com | WhatsApp: 0743800269 📵",11/19/2014 18:16,20195,1309,6218,FALSE,1/15/2023 17:44,,Twitter for Android,FALSE
S,Wild Blue Yonder,"#StandWithUkraine. COVID deniers spreading misinformation! followed by Dworkin, GLENN KIRSCHNER. vaccinated. COVID is Airborne! f Putin",1/26/2014 3:29,5680,6060,274259,FALSE,1/15/2023 17:43,,Twitter for iPad,FALSE
Cape Argus,"Cape Town, South Africa","Cape Town's oldest daily newspaper, bringing you the news since 1857. We publish in the morning and afternoon and online. Visit our Facebook page to comment.",11/8/2010 4:45,49683,820,394,FALSE,1/15/2023 17:01,,Echobox,FALSE
⚡️⚓️NEÍLL⚓️⚡️,📍Ktaqmkuk 🇨🇦🏴‍☠️ (NL),,5/12/2011 21:22,121,0,1561,FALSE,1/15/2023 16:37,,Twitter for Android,FALSE
Worker,,For living  #followback,5/12/2022 7:29,130,270,486,FALSE,1/15/2023 16:12,,Twitter Web App,FALSE
kevm@toot.community (Kevin Miller),"Wisconsin, USA",Remote self-employed software creator. Dad. Mobile. Podcasts. Nintendo. Minecraft participant. Learning web dev anew with @sveltejs,6/21/2007 19:27,533,178,4888,FALSE,1/15/2023 15:38,,Twitter for iPhone,FALSE
Cole,,"Don't build a wall, I may wish to leave. Just a regular guy.",6/2/2022 7:05,2404,2307,9850,FALSE,1/15/2023 15:24,,Twitter for Android,FALSE
Daily Voice Suffolk County,,,4/22/2019 15:45,396,5,1,FALSE,1/15/2023 15:23,,Daily Voice Suffolk County,FALSE
DV Putnam County,"Putnam County, NY","Daily Voice Putnam County covers our friends and neighbors in #Brewster, #CarmelKent, #ColdSpring, #Mahopac, #Patterson and #PutnamValley.",6/22/2014 21:38,1608,84,11,FALSE,1/15/2023 15:23,,SPTK: PutnamDV,FALSE
DV Orange County,,,6/27/2017 15:42,146,25,0,FALSE,1/15/2023 15:23,,SPTK: DVOrangeCounty,FALSE
Daily Voice Nassau County,,,4/22/2019 15:06,327,9,1,FALSE,1/15/2023 15:23,,William Travis Hardman,FALSE
Bill Vigus,Husband/Father; Reformed Bap,Jewish believer in Jesus. Pro civil dialogue (profanity will result in blocking). I'm open to being wrong you should be too. Biologist. Libertarian/Conservative,11/22/2022 3:15,37,444,3923,FALSE,1/15/2023 15:19,,Twitter for Android,FALSE
Joe Lombardi,,"Multimedia, news and sports manager, producer, director and editor",7/26/2008 20:23,9270,463,1,TRUE,1/15/2023 15:16,,Twitter Web App,FALSE
Red Lights For Firefighters LLC,"Watertown, NY","Place a red light outside of your home or business to support the firefighters everywhere. We support 1st responders in Fire, EMS and Dispatch. Ind Media.",9/26/2017 22:04,405,646,5187,FALSE,1/15/2023 15:05,,Hootsuite Inc.,FALSE
COVID-19 Global Cases,,Coronavirus COVID-19 Global Cases - Live Updates,3/12/2020 21:30,97,191,0,FALSE,1/15/2023 13:36,,COVID-19 Global Cases,FALSE
jackielantern🇺🇸,,"Believer, southern girl, mom, wife, Auburn grad, resister of tyranny. War Damn Eagle FOEVA.",12/10/2019 15:15,435,1032,10669,FALSE,1/15/2023 13:36,,Twitter for iPhone,FALSE
Philip,,,11/12/2022 18:32,104,82,16,FALSE,1/15/2023 13:05,,Twitter for Android,FALSE
VERIFY,,VERIFY is dedicated to fighting the spread of misinformation & helping you determine what's true and what's false. Part of @TEGNA.,11/16/2020 19:42,13625,151,312,TRUE,1/15/2023 13:00,,SocialNewsDesk,FALSE
william Byrne,Miami,"Proud, American, Marine, white, Male!",11/24/2019 14:08,52,315,2722,FALSE,1/15/2023 12:58,,Twitter Web App,FALSE
Thaddeaus,,Blue collar Red blooded American,5/15/2022 2:54,18,135,900,FALSE,1/15/2023 12:06,,Twitter for iPhone,FALSE
"Yoshiko Otsuka Fine Art International, Tokyo","Tokyo, Japan","We represent Japanese chef-turned self-taught artist, HIROYUKI DOI who creates circle drawings.欧米で高く評価されているHIROYUKI DOI (土井宏之）作品を取り扱い、展覧会企画運営, Workshop等行っています。",12/7/2021 7:36,380,1388,23454,FALSE,1/15/2023 11:27,,Twitter Web App,FALSE
Möbius,,"Not a parody, I really am this 🤣
Born in the U.S.A.
August Ferdinand Mobius was a scholar and student under Gauss
I enjoy math, understanding unnamed sources🍁",1/5/2023 21:10,33,179,3004,FALSE,1/15/2023 11:04,,Twitter for Android,FALSE
Maria Bonanno,"Forgetaboutit, New Jersey, USA",Conservative #BuildTheWall #Navy #Nonsibisedpatriae #Trump #MAGA #NRA Followed by Scott Baio John Batchelor Gen Flynn ScottPresler Mike Lindell JamesWoods🇺🇸,1/20/2016 0:19,9944,7866,470563,FALSE,1/15/2023 10:39,,Twitter for iPhone,FALSE
Old Gill,,don’t you think things were easier when all we had to worry about were the Kurds?,10/27/2012 9:13,47,654,2309,FALSE,1/15/2023 7:27,,Twitter for iPhone,FALSE
Aspie for peace!,"Kingston, Ontario","anti war, LGBT, anti pipeline",3/27/2009 19:29,4591,4657,51837,FALSE,1/15/2023 5:09,,Twitter for Android,FALSE
Gendron Recherche,United States,"Cancer research is basic research into cancer in order to identify causes and develop strategies for prevention, diagnosis, treatments and cure.",9/14/2013 18:08,577,1071,99,FALSE,1/15/2023 4:27,,dlvr.it,FALSE
johngray,Underground,Life is a bitch,1/17/2018 20:47,17,115,323,FALSE,1/15/2023 4:06,,Twitter for Android,FALSE
Chris Abraham,"Arlington Heights, VA","If you look in the dictionary under Bozo Filter, you'll see my photo. Also Bozo Filtered on @chris@abraham.su",1/6/2007 19:51,42657,21353,14134,TRUE,1/15/2023 4:02,,Twitter for Android,FALSE
My Care Labs,"California, USA","My Care Labs helps to counter the spread of #COVID19, #Flu, #RSV, and other diseases through our easy, accurate, no-cost tests.",12/1/2021 23:41,135,47,335,FALSE,1/15/2023 3:35,,Buffer,FALSE
SLP,,Psalm 91. 🙏 I will NEVER give up my faith in Yeshua HaMashiach Christ Jesus.🙏🌈✝️💜🥰🙌👏 I respect Mr Musk & his many female partners. I don't judge anyone.,11/1/2022 23:20,1,2,99,FALSE,1/15/2023 1:35,,Twitter for iPhone,FALSE
Maria Bonanno,"Forgetaboutit, New Jersey, USA",Conservative #BuildTheWall #Navy #Nonsibisedpatriae #Trump #MAGA #NRA Followed by Scott Baio John Batchelor Gen Flynn ScottPresler Mike Lindell JamesWoods🇺🇸,1/20/2016 0:19,9944,7866,470563,FALSE,1/15/2023 0:35,,Twitter for iPhone,FALSE
Emster,,"Let the message of Christ dwell among you richly as you teach and admonish one another with all wisdom through psalms, hymns, and songs from the Spirit, singing",6/4/2020 0:14,132,134,10264,FALSE,1/15/2023 0:26,,Twitter Web App,FALSE
SuperTalk Mississippi,Mississippi,News. Sports. Politics. And The Good Things. | The Conversation Starts Here. | Call: 888-808-8637 | Text: 601-879-4395 | Listen/Watch: https://t.co/ZSckpK8D1D,1/20/2009 20:26,25113,394,4762,FALSE,1/15/2023 0:00,,Buffer,FALSE
Life,United States,,9/30/2014 21:57,12,64,3033,FALSE,1/14/2023 23:38,,Twitter for iPad,FALSE
Veritas,,Anonymity governed by decades of self-study.,2/21/2009 1:04,127,194,13709,FALSE,1/14/2023 23:29,,Twitter Web App,FALSE
Maria Bonanno,"Forgetaboutit, New Jersey, USA",Conservative #BuildTheWall #Navy #Nonsibisedpatriae #Trump #MAGA #NRA Followed by Scott Baio John Batchelor Gen Flynn ScottPresler Mike Lindell JamesWoods🇺🇸,1/20/2016 0:19,9944,7866,470563,FALSE,1/14/2023 22:28,,Twitter for iPhone,FALSE
にこちゅう 🇺🇸 Deplorable Patriot USA,,"Death is painful and there's no such thing as a perfect goodbye, especially when it comes to a mother, the woman who gave birth to you.",1/25/2020 22:55,0,115,7,FALSE,1/14/2023 22:03,,Twitter Web App,FALSE
にこちゅう 🇺🇸 Deplorable Patriot USA,,"Death is painful and there's no such thing as a perfect goodbye, especially when it comes to a mother, the woman who gave birth to you.",1/25/2020 22:55,0,115,7,FALSE,1/14/2023 22:02,,Twitter Web App,FALSE
Mtkwatters,,,4/26/2022 16:31,81,125,4466,FALSE,1/14/2023 22:00,,Twitter for iPhone,FALSE
Spectrum News St. Louis,"St. Louis, MO","Covering local news, sports, politics and weather in St. Louis. Download the Spectrum News app today and stay connected 📲",10/1/2021 19:12,351,233,19,TRUE,1/14/2023 22:00,,SocialNewsDesk,FALSE
Cathy Dee,,,12/6/2022 21:25,25,56,1614,FALSE,1/14/2023 21:54,,Twitter Web App,FALSE
Cathy Dee,,,12/6/2022 21:25,25,56,1614,FALSE,1/14/2023 21:47,,Twitter Web App,FALSE
garbage,,🤷🏼‍♂️,7/29/2009 11:10,136,135,4481,FALSE,1/14/2023 21:37,,Twitter Web App,FALSE
King of Britton,"Texas, USA",Truth seeker & Conspiracy Theorists. My pronouns are Told/You/So,4/26/2022 3:41,260,1337,988,FALSE,1/14/2023 21:31,,Twitter for iPhone,FALSE
